"商品名","URL","画像URL","画像pHash"
"N/A","N/A","https://m.media-amazon.com/images/I/61ivb7W6rXL._AC_UL960_FMwebp_QL65_.jpg","afe8bde5c104c147"
"N/A","N/A","https://m.media-amazon.com/images/I/61a+qF3PgxL._AC_UL960_FMwebp_QL65_.jpg","beec40a0a52d8f8f"
"N/A","N/A","https://m.media-amazon.com/images/I/51Q2GsKju2L._AC_UL960_FMwebp_QL65_.jpg","fa4a85b04bcab0e7"
"N/A","N/A","https://m.media-amazon.com/images/I/61W3EbLPi7L._AC_UL960_FMwebp_QL65_.jpg","babdddc4e402827a"
"N/A","N/A","https://m.media-amazon.com/images/I/51ZKLXgDgLL._AC_UL960_FMwebp_QL65_.jpg","ea3686d2dd4a8d46"
"N/A","N/A","https://m.media-amazon.com/images/I/61fW5KisQdL._AC_UL960_FMwebp_QL65_.jpg","ae9ef517c160c878"
"N/A","N/A","https://m.media-amazon.com/images/I/51J-SJiWExL._AC_UL960_FMwebp_QL65_.jpg","fec2bc42956bc0c5"
"N/A","N/A","https://m.media-amazon.com/images/I/51TRTl7fTYL._AC_UL960_FMwebp_QL65_.jpg","bfe8b864c92cd528"
"N/A","N/A","https://m.media-amazon.com/images/I/51aIV5wD1hL._AC_UL960_FMwebp_QL65_.jpg","bf40d8e1cd97881b"
"N/A","N/A","https://m.media-amazon.com/images/I/51Ngw227xtL._AC_UL960_FMwebp_QL65_.jpg","eb354a84ac69b4b5"
"N/A","N/A","https://m.media-amazon.com/images/I/81Bo896kveL._AC_UL960_FMwebp_QL65_.jpg","af82aa6fb860bc68"
"N/A","N/A","https://m.media-amazon.com/images/I/61qDtCqp7oL._AC_UL960_FMwebp_QL65_.jpg","e887c71679589393"
"N/A","N/A","https://m.media-amazon.com/images/I/51ZKLXgDgLL._AC_UL960_FMwebp_QL65_.jpg","ea3686d2dd4a8d46"
"N/A","N/A","https://m.media-amazon.com/images/I/61ahTQfjBXL._AC_UL960_FMwebp_QL65_.jpg","aee099d0df344f11"
"N/A","N/A","https://m.media-amazon.com/images/I/71AQLTib3eL._AC_UL960_FMwebp_QL65_.jpg","fe3a5ae48784c8c9"
"N/A","N/A","https://m.media-amazon.com/images/I/61Jlc5sGb9L._AC_UL960_FMwebp_QL65_.jpg","aac0b52fd06dd235"
"N/A","N/A","https://m.media-amazon.com/images/I/31RjPKHo1OL._AC_UL960_FMwebp_QL65_.jpg","f86ac6932b4a98b6"
"N/A","N/A","https://m.media-amazon.com/images/I/61hsV1oqzqL._AC_UL960_FMwebp_QL65_.jpg","86fed1d1d6246c19"
"N/A","N/A","https://m.media-amazon.com/images/I/61kGiMsfSDL._AC_UL960_FMwebp_QL65_.jpg","ffc0b6c89562944b"
"N/A","N/A","https://m.media-amazon.com/images/I/51vVoonsFwL._AC_UL960_FMwebp_QL65_.jpg","fe42a440d9a39eb5"
