"商品名","販売数","商品URL","画像URL"
"レディース チェック柄 ミニマリスト ロングスリーブシャツ、カジュアルな日常服","10000","https://jp.shein.com/Women-s-Plaid-Print-Minimalist-Long-Sleeve-Shirt-Everyday-Casual-p-36244650.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2024/06/01/18/1717214455d78cd0694e10d8a589b5ee98258d5f66_wk_1725496710_thumbnail_600x.webp"
"女性用 グレー&ピンクチェック柄 カジュアル ゆったり ブラウス、長袖襟付きシャツ、長袖トップス","10000","https://jp.shein.com/Gray-Pink-Plaid-Casual-Loose-Blouse-For-Women-Long-Sleeve-Collared-Shirt-Long-Sleeve-Tops-p-28400755.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2024/03/23/4f/17111988229dc4e1c8989d0cd9d44c20f688762956_wk_1722493251_thumbnail_600x.webp"
"Joudiya ウィメンズストライプ ルーズビジネスカジュアル長袖シャツ、秋、長袖トップス","700","https://jp.shein.com/Joudiya-Women-s-Striped-Loose-Business-Casual-Long-Sleeve-Shirt-Autumn-Long-Sleeve-Tops-p-22456223.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2023/09/01/6a/1693560819aac7e24f64d0c67aba71b92257cf3eb4_thumbnail_600x.webp"
"Comfortcana 縞模様プリント ドロップショルダー シャツ","1200","https://jp.shein.com/Comfortcana-Striped-Print-Drop-Shoulder-Shirt-p-16755175.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2024/10/15/47/172895837682648db47749bd03ef584e5d6cbbe16a_thumbnail_600x.webp"
"DAZY ストライプドロップショルダーシャツ、長袖トップス","2700","https://jp.shein.com/DAZY-Striped-Drop-Shoulder-Shirt-Long-Sleeve-Tops-p-2897058.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2021/07/01/1625108350ee4ca98310f0346d9d17b719c1ade668_thumbnail_600x.webp"
"レディース チェック柄 長袖 カジュアルブラウス、春、長袖トップス","10000","https://jp.shein.com/Women-s-Plaid-Long-Sleeve-Casual-Blouse-Spring-Long-Sleeve-Tops-p-31596633.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2024/02/29/ab/17092051024259a29b37bbde4ac2de4b32ca591d05_wk_1722539723_thumbnail_600x.webp"
"女性用夏 ロゴ入りストライプ半袖シャツ、ゆったりとしたカジュアルデザイン","2700","https://jp.shein.com/Women-s-Summer-Striped-Short-Sleeve-Loose-Casual-Shirt-With-Letter-Print-p-32702598.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2024/03/30/7e/17117282124fab22f0d3ce4bd1a31c06e93007f767_wk_1722538753_thumbnail_600x.webp"
"DAZY ボタン隠しフロントシャツ、レディースカジュアルボタン付き長袖カラー、レギュラーフィット、レギュラーホワイト、レギュラー袖丈、レディースブラウス、春秋着用、ビジネス/オフィスウェア、長袖トップス","600","https://jp.shein.com/DAZY-Solid-Hidden-Button-Front-Shirt-Ladies-Casual-Button-Long-Sleeve-Collar-Regular-Fit-Regular-White-Regular-Sleeve-Shirt-Women-Blouses-Spring-Fall-Professional-Business-Attire-Workwear-Long-Sleeve-Tops-p-11167397.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2022/08/01/1659344396baf4f75e7f2a6183edcd818f45f973ff_thumbnail_600x.webp"
"無地 前結びシャツ、長袖トップス","5300","https://jp.shein.com/Solid-Tie-Front-Shirt-Long-Sleeve-Tops-p-11068898.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2023/05/24/16849188965fc32de462a59ecbb5ae1b80f2cdbc8e_wk_1722084644_thumbnail_600x.webp"
"女性用ボタンダウンシャツ クラシックフィット ドレスシャツ ワーク ビジネスカジュアル 長袖ブラウストップス","1400","https://jp.shein.com/Women-s-Button-Down-Shirts-Classic-Fit-Dress-Shirt-Work-Business-Casual-Long-Sleeve-Blouse-Tops-p-47326919.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2025/02/22/59/1740210581c04b292f270ac221cf7f2c5f567dec55_thumbnail_600x.webp"
"早春 韓国スタイル フィットしたラウンドネック絞り紐デザイン 万能長袖Tシャツ レディース","10000","https://jp.shein.com/Early-Spring-Korean-Style-Fitted-Round-Neck-Drawstring-Design-Versatile-Long-Sleeve-T-Shirt-For-Women-p-49618456.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2024/11/30/11/17329480171808f588bbef394b9657ecb143cbc8c2_wk_1733391190_thumbnail_600x.webp"
"DAZY 女性用長袖日焼け防止シャツ シアー","1600","https://jp.shein.com/DAZY-Women-s-Long-Sleeve-Sun-Protection-Shirt-Sheer-p-29495350.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2024/01/23/19/1705973848e67fbcba8ef22a6cff6852405c1f025f_thumbnail_600x.webp"
"長袖シャツ カジュアルルーズフィット 無地 春秋シーズン マルチウェア プルオーバー","10000","https://jp.shein.com/Casual-Loose-Solid-Color-Long-Sleeve-Shirt-Versatile-Pullover-For-Spring-And-Autumn-p-10696558.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2023/10/13/6b/1697155255d692588df86e66e8936d0bee8d78b8b2_wk_1721802522_thumbnail_600x.webp"
"レディース チェック柄プリントカジュアル長袖ブラウス ランダムカットデザイン 長袖トップス","6600","https://jp.shein.com/Women-s-Plaid-Printed-Casual-Long-Sleeve-Blouse-Random-Cut-Pieces-Long-Sleeve-Tops-p-32990430.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2024/04/06/fc/17123761417cd59009b18cd5e6fa3102e4b7159323_wk_1722538770_thumbnail_600x.webp"
"Chiquease シンプルな無地透明コラーシャツ、長袖トップス","3300","https://jp.shein.com/Chiquease-Basic-Transparent-Plain-Simple-Collared-Shirt-Long-Sleeve-Tops-p-42892039.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2024/09/16/b5/1726459958c4ee7f04d93fbb1f43aa0c4c17c3f5fd_thumbnail_600x.webp"
"女性用カジュアル ストライプ ウサギ刺繍 長袖オープンフロントシャツブラウス、春夏","2500","https://jp.shein.com/Women-s-Casual-Striped-Rabbit-Embroidery-Long-Sleeve-Open-Front-Shirt-Blouse-Spring-Summer-p-33599552.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2024/04/17/1a/1713346746b3eed4983a2ba8e3f2bbb4d4d9f7ac64_wk_1722509430_thumbnail_600x.webp"
"ストライプ柄ドロップショルダーオーバーサイズシャツ、長袖トップス","1500","https://jp.shein.com/Vertical-Striped-Drop-Shoulder-Oversized-Shirt-Long-Sleeve-Tops-p-16372976.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2023/05/19/16844609692d5e4dba00495a6ffed713950c884728_wk_1722400595_thumbnail_600x.webp"
"SHEIN EZwear 春 無地 タックデザイン カーブヘム ホワイトシャツ 長袖トップス","3400","https://jp.shein.com/SHEIN-EZwear-Spring-Solid-Ruched-Curved-Hem-White-Shirt-Long-Sleeve-Tops-p-11264938.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2022/08/15/1660528384d5976ad2e0d7b6f26f04f6c0d18e315e_thumbnail_600x.webp"
"Sunnyshic レディーストップス ロングスリーブ 縦縞スリムウエストシャツ","100","https://jp.shein.com/Sunnyshic-Women-s-Vertical-Striped-Slim-Fit-Waist-Shirt-Long-Sleeve-Tops-p-29793166.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2024/01/31/df/1706677504b65fd79fde900fb59e363919051d8971_thumbnail_600x.webp"
"Wynsel ウィメンズ プリーツ入り 無地 ルーズシャツ、ホワイト、春夏秋","2800","https://jp.shein.com/Wynsel-Women-Pleated-Solid-Color-Lapel-Loose-Shirt-White-Spring-Summer-Autumn-p-38931329.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2024/11/12/fe/1731389881210eab1f87b241313b8137775f47b4a5_thumbnail_600x.webp"
