"商品名","販売数","商品URL","画像URL"
"FULL BEAUTY 爪角質除去ジェルクリーム 指先保湿ケア 30ml","10000","https://jp.shein.com/FULL-BEAUTY-30ml-Nail-Cuticle-Remover-Gel-Cream-Softner-Liquid-Smooth-Moisturizing-Nail-Dead-Skin-Nail-Art-Treatment-Care-Repair-Manicure-Tools-p-25688453.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2024/07/08/1e/1720406538cded9f99e4474cbf8e81d6dd75407e9a_thumbnail_600x.webp"
"5 in 1 充電式電動ネイルドリルキット - USB充電 180mAh リチウムバッテリー, 2段階速度調整機能 ジェルネイル、角質除去、研磨に対応 - 無添加、ジェルマニキュアやホームサロンに最適、素晴らしいギフト","300","https://jp.shein.com/5-In-1-Rechargeable-Electric-Nail-Drill-Kit-USB-Charging-180mAh-Lithium-Battery-2-Speed-Control-For-Gel-Nails-Callus-Removal-Polishing-Preservative-Free-Ideal-For-Gel-Manicure-And-Home-Salon-Great-Gift-p-36084439.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2024/08/06/6b/1722956401b6f1b5071cb603d612365e24c6345818_thumbnail_600x.webp"
"1/8/16個 5mlネイルキューティクルオイル ネイル栄養オイル ペン式 セット、角質除去修復ツール、ネイル強化剤 光沢とネイルヘルスを向上 ネイルサロン日用ネイルアート用品","200","https://jp.shein.com/1-8-16PCS-5ML-Nail-Cuticle-Oil-Nail-Nutrient-Oil-Nutrient-Pen-Set-Dead-Skin-Remover-Repair-Tool-Nail-Strengthener-Enhances-Nail-Health-Gloss-Nail-Supplies-For-Manicure-Art-Salon-Daily-Usage-p-54216462.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2025/01/18/ef/17371694855741527077654b1f8e4336d868ae3131_thumbnail_600x.webp"
"爪のケア用品 カルシウム入りベースコート ネイルポリッシュケアオイル 保湿クリーム 日常的に使用できる角質除去クリーム ネイルケア総合セット","1600","https://jp.shein.com/Nail-Polish-Care-Oil-With-Calcium-Base-Coat-Nail-Care-Treatment-Dead-Skin-Remover-Hand-Repair-Cream-Suitable-For-Daily-Nail-Care-Use-p-24132357.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2023/10/05/9d/16964690605c5bb615ce1ca0e6c1be9f4f10b72fb0_thumbnail_600x.webp"
"ステンレス製ネイルケアツール3点セット、キューティクルニッパー、ネイルクリッパー、キューティクルプッシャー、角質ケアトリマー、プロ仕様 安全なマニキュア、ペディキュア、角質除去用","200","https://jp.shein.com/3Pcs-Set-Stainless-Steel-Professional-Manicure-Pedicure-Tools-Cuticle-Clipper-Nail-Clipper-Set-With-Cuticle-Spoon-Pusher-And-Trimmer-Professional-And-Safe-Manicure-Pedicure-Exfoliation-Pedicure-p-46389280.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_pi/2024/10/31/2f/173036235996dd6b99805c66567f5536c41756a097_thumbnail_600x.webp"
"角質軟化ジェル（フットソーク用） デッドスキン除去 スチール製プッシャー付き エプソム塩配合、かかとの角質や乾燥したかかと、におい対策に - タイヤドな足のためのペディキュア 2個セット","10000","https://jp.shein.com/2pcs-Set-Foot-Soak-Calluses-Remover-Gel-Dead-Skin-Steel-Push-Set-Extra-Strength-Softening-Keratin-Remover-Gel-Foot-Soak-With-Epsom-Salts-For-Calluses-Dry-Cracked-Heels-Odor-Pedicure-For-Tired-Feet-p-35262513.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2024/07/11/fa/1720693327b2b2b4dac8463d4ac422f80da10d6ea3_thumbnail_600x.webp"
"nailpop キューティクル リムーバージェル 60ml、乾燥したキューティクルのためのキューティクルソフナー、保湿ネイルケア、クリームソフナー リキッド 滑らかな保湿、ネイルの角質ケア、ネイルアートトリートメントケア、マニキュアツール","10000","https://jp.shein.com/nailpop-Nail-Cuticle-Remover-Gel-Cuticle-Softener-For-Dry-Cuticles-Nail-Care-For-Hydrating-Moisturizing-Cream-Softner-Liquid-Smooth-Moisturizing-Nail-Dead-Skin-Nail-Art-Treatment-Care-Repair-Manicure-Tools-Cuticle-Remover-Gel-60ML-p-43266664.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2024/09/19/8d/1726728546e593ff0684dc8e1bb44059c1e43f47a3_thumbnail_600x.webp"
"Olasalon OLA SALON 銀色キューティクルトリマー、プロ用ステンレス製デュラブルなカットクル用ニッパー、ダブルスプリング付き、爪や爪先の角質を除去するネイルケアアイテム","10000","https://jp.shein.com/Olasalon-OLASALON-Silver-Cuticle-Trimmer-Cuticle-Nipper-Professional-Sharp-Stainless-Steel-Durable-Cuticle-Cutting-Nipper-With-Double-Spring-Manicure-Tools-For-Trimming-Finger-Nails-And-Toenails-Dead-Skin-p-37509380.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2024/06/18/e5/171869509535220dda68ceec2f2a0e1b84d1a603ec_thumbnail_600x.webp"
"充電式 電動ネイルドリル、調整可能な速度、ネイルケア セット マニキュア&ペディキュア、ネイル研磨ツール - ジェルネイルの除去、角質の処理に適しています","10000","https://jp.shein.com/Rechargeable-Electric-Nail-Drill-Adjustable-Speed-Nail-Care-Set-For-Manicure-Pedicure-Nail-Polishing-Tool-Suitable-For-Gel-Polish-Removal-Callus-p-50696937.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2024/12/09/fd/17337232028856a04baf67284721ede09e1a3b29e6_thumbnail_600x.webp"
"足裏角質除去 キット 10点セットプロフェッショナルなペディキュアツール 自宅&サロンケア 黒 爪やすり 片足カルス 国産 家庭用 トゥースクラバー ネイルケア キット 皮膚 除去","10000","https://jp.shein.com/Pedicure-Kits10pcs-Professional-Pedicure-Tools-Foot-Rasp-Foot-Dead-Skin-Remover-For-Home-Salon-Care-Foot-File-Foot-Callus-Remover-Black-Home-Pedicure-Kit-Foot-Care-Kit-Pedicure-Kit-For-Foot-Spa-Foot-Scrubber-Tool-Foot-Spa-Tool-Manicure-Tool-Kit-Foot-Dead-Skin-Remover-Tools-p-28357238.html?mallCode=1&pageListType=4","//img.ltwebstatic.com/images3_spmp/2023/12/19/ba/17029766548eb61ccd8b4fb7eac7fdd5a58878ca5d_thumbnail_600x.webp"
